 Total battles: 55625
 Avg. weight/team: 0.018
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Togedemaru         | 27.07538% | 16658  | 14.973% | 14061  | 15.494% | 
 | 2    | Sandaconda         | 26.42466% | 21782  | 19.579% | 18817  | 20.735% | 
 | 3    | Clefairy           | 25.01305% | 16233  | 14.591% | 13434  | 14.803% | 
 | 4    | Cofagrigus         | 21.84802% | 21807  | 19.602% | 18275  | 20.138% | 
 | 5    | Rotom-Fan          | 20.33243% | 14436  | 12.976% | 12413  | 13.678% | 
 | 6    | Toxicroak          | 19.18346% | 22524  | 20.246% | 17664  | 19.465% | 
 | 7    | Eldegoss           | 17.89014% | 14193  | 12.758% | 11640  | 12.827% | 
 | 8    | Rotom-Frost        | 17.79486% | 11849  | 10.651% | 9825   | 10.827% | 
 | 9    | Indeedee-F         | 16.49078% | 12149  | 10.920% | 9970   | 10.986% | 
 | 10   | Silvally-Water     | 16.46949% | 11185  | 10.054% | 9238   | 10.180% | 
 | 11   | Garbodor           | 16.22103% | 10036  |  9.021% | 8619   |  9.498% | 
 | 12   | Stunfisk-Galar     | 15.10203% | 7451   |  6.698% | 6725   |  7.411% | 
 | 13   | Lanturn            | 14.82065% | 10331  |  9.286% | 8677   |  9.562% | 
 | 14   | Drampa             | 14.67933% | 14797  | 13.301% | 11831  | 13.037% | 
 | 15   | Silvally-Dark      | 14.40671% | 6825   |  6.135% | 5519   |  6.082% | 
 | 16   | Gourgeist-Small    | 13.36902% | 5652   |  5.080% | 4630   |  5.102% | 
 | 17   | Piloswine          | 12.86726% | 13183  | 11.850% | 11687  | 12.878% | 
 | 18   | Silvally-Fire      | 12.19937% | 7172   |  6.447% | 5921   |  6.525% | 
 | 19   | Wishiwashi         | 12.13633% | 6101   |  5.484% | 5254   |  5.790% | 
 | 20   | Quagsire           | 11.63595% | 13361  | 12.010% | 11292  | 12.443% | 
 | 21   | Abomasnow          | 11.13338% | 11771  | 10.581% | 10015  | 11.036% | 
 | 22   | Malamar            | 10.91252% | 14755  | 13.263% | 11854  | 13.062% | 
 | 23   | Ninjask            |  9.92055% | 8906   |  8.005% | 7251   |  7.990% | 
 | 24   | Alcremie           |  9.73630% | 9814   |  8.822% | 7630   |  8.408% | 
 | 25   | Sawk               |  9.06031% | 10387  |  9.337% | 8321   |  9.169% | 
 | 26   | Ferroseed          |  8.56713% | 9543   |  8.578% | 8603   |  9.480% | 
 | 27   | Skuntank           |  8.07930% | 10468  |  9.409% | 8587   |  9.462% | 
 | 28   | Golurk             |  7.38041% | 10668  |  9.589% | 8898   |  9.805% | 
 | 29   | Rapidash-Galar     |  7.11389% | 11966  | 10.756% | 8717   |  9.606% | 
