 Total battles: 64043
 Avg. weight/team: 0.008
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Throh              | 37.73567% | 24038  | 18.767% | 19930  | 19.176% | 
 | 2    | Mawile             | 30.25689% | 37120  | 28.981% | 32299  | 31.077% | 
 | 3    | Manectric          | 21.35988% | 31513  | 24.603% | 25627  | 24.658% | 
 | 4    | Pawniard           | 19.70286% | 13619  | 10.633% | 11198  | 10.775% | 
 | 5    | Carkol             | 18.47475% | 18936  | 14.784% | 16873  | 16.235% | 
 | 6    | Glaceon            | 18.01076% | 18315  | 14.299% | 14419  | 13.874% | 
 | 7    | Roselia            | 17.36550% | 14088  | 10.999% | 11643  | 11.203% | 
 | 8    | Silvally-Poison    | 17.29098% | 10906  |  8.515% | 9170   |  8.823% | 
 | 9    | Stonjourner        | 16.52269% | 18422  | 14.383% | 14951  | 14.386% | 
 | 10   | Basculin           | 16.48181% | 19171  | 14.967% | 14829  | 14.268% | 
 | 11   | Type: Null         | 15.81790% | 8868   |  6.923% | 7071   |  6.804% | 
 | 12   | Silvally-Dragon    | 14.81913% | 13758  | 10.741% | 11344  | 10.915% | 
 | 13   | Lapras             | 14.60255% | 20897  | 16.315% | 16556  | 15.930% | 
 | 14   | Musharna           | 14.36518% | 9176   |  7.164% | 7147   |  6.877% | 
 | 15   | Shiinotic          | 13.82793% | 10647  |  8.312% | 8721   |  8.391% | 
 | 16   | Silvally-Ground    | 12.88240% | 11837  |  9.241% | 9890   |  9.516% | 
 | 17   | Liepard            | 10.27673% | 22614  | 17.655% | 18750  | 18.041% | 
 | 18   | Leafeon            | 10.17235% | 18069  | 14.107% | 14174  | 13.638% | 
 | 19   | Silvally-Flying    |  9.86247% | 10155  |  7.928% | 8156   |  7.848% | 
 | 20   | Hattrem            |  9.85631% | 10947  |  8.547% | 9069   |  8.726% | 
 | 21   | Shuckle            |  9.83938% | 15764  | 12.307% | 14356  | 13.813% | 
 | 22   | Mr. Mime           |  9.35161% | 11894  |  9.286% | 9084   |  8.740% | 
 | 23   | Grapploct          |  9.26189% | 15430  | 12.047% | 12434  | 11.964% | 
 | 24   | Gourgeist-Super    |  8.60064% | 10285  |  8.030% | 8434   |  8.115% | 
 | 25   | Palpitoad          |  8.18220% | 3585   |  2.799% | 3210   |  3.089% | 
 | 26   | Beheeyem           |  7.89412% | 10767  |  8.406% | 8221   |  7.910% | 
 | 27   | Vespiquen          |  7.76713% | 9918   |  7.743% | 8006   |  7.703% | 
 | 28   | Fraxure            |  7.63739% | 15185  | 11.855% | 11356  | 10.927% | 
 | 29   | Silvally-Fighting  |  7.52658% | 5446   |  4.252% | 4517   |  4.346% | 
 | 30   | Gothitelle         |  7.23788% | 4652   |  3.632% | 3506   |  3.373% | 
 | 31   | Pyukumuku          |  6.79142% | 5332   |  4.163% | 4193   |  4.034% | 
