 Total battles: 77889
 Avg. weight/team: 0.011
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Steelix            | 32.52857% | 26225  | 16.835% | 22529  | 18.040% | 
 | 2    | Xatu               | 27.03527% | 26044  | 16.719% | 21183  | 16.962% | 
 | 3    | Snorlax            | 25.02356% | 20369  | 13.076% | 16163  | 12.943% | 
 | 4    | Vileplume          | 24.01253% | 23922  | 15.356% | 19433  | 15.561% | 
 | 5    | Passimian          | 23.81958% | 21344  | 13.702% | 16997  | 13.610% | 
 | 6    | Jellicent          | 21.41515% | 26097  | 16.753% | 21361  | 17.105% | 
 | 7    | Salazzle           | 18.22765% | 35302  | 22.662% | 28043  | 22.456% | 
 | 8    | Indeedee           | 16.94487% | 20050  | 12.871% | 14981  | 11.996% | 
 | 9    | Coalossal          | 16.57695% | 18307  | 11.752% | 15987  | 12.802% | 
 | 10   | Charizard          | 16.40012% | 30468  | 19.559% | 24636  | 19.727% | 
 | 11   | Rillaboom          | 15.37126% | 17452  | 11.203% | 14233  | 11.397% | 
 | 12   | Copperajah         | 15.06932% | 16767  | 10.763% | 13604  | 10.894% | 
 | 13   | Virizion           | 13.68771% | 15536  |  9.973% | 11858  |  9.495% | 
 | 14   | Rhydon             | 12.16311% | 15682  | 10.067% | 12998  | 10.408% | 
 | 15   | Sableye            | 11.90961% | 13009  |  8.351% | 10909  |  8.735% | 
 | 16   | Gastrodon          | 11.72805% | 20350  | 13.063% | 16545  | 13.249% | 
 | 17   | Vanilluxe          | 11.23873% | 9469   |  6.079% | 8033   |  6.432% | 
 | 18   | Scrafty            | 11.18084% | 17169  | 11.021% | 13676  | 10.951% | 
 | 19   | Silvally-Fairy     |  9.84313% | 10402  |  6.677% | 8094   |  6.481% | 
 | 20   | Raichu-Alola       |  9.35349% | 14566  |  9.350% | 10864  |  8.699% | 
 | 21   | Vikavolt           |  9.20470% | 13092  |  8.404% | 11149  |  8.928% | 
 | 22   | Ninetales          |  8.16078% | 18447  | 11.842% | 15902  | 12.734% | 
 | 23   | Aromatisse         |  7.89678% | 10644  |  6.833% | 8205   |  6.570% | 
 | 24   | Whimsicott         |  7.42919% | 11645  |  7.475% | 9378   |  7.510% | 
 | 25   | Cramorant          |  7.32421% | 18926  | 12.149% | 15695  | 12.568% | 
 | 26   | Mudsdale           |  7.15428% | 15830  | 10.162% | 13380  | 10.714% | 
 | 27   | Bewear             |  6.64078% | 11670  |  7.491% | 8787   |  7.036% | 
 | 28   | Weezing            |  6.62536% | 7711   |  4.950% | 6554   |  5.248% | 
 | 29   | Claydol            |  6.57879% | 15398  |  9.885% | 13030  | 10.434% | 
 | 30   | Rotom              |  6.47335% | 7370   |  4.731% | 6101   |  4.885% | 
 | 31   | Turtonator         |  6.33408% | 4688   |  3.009% | 3922   |  3.141% | 
 | 32   | Silvally-Steel     |  6.31669% | 7357   |  4.723% | 5885   |  4.712% | 
 | 33   | Ninjask            |  6.12458% | 1889   |  1.213% | 1485   |  1.189% | 
 | 34   | Morpeko            |  6.00128% | 13199  |  8.473% | 10033  |  8.034% | 
 | 35   | Silvally-Ghost     |  5.56108% | 5236   |  3.361% | 4105   |  3.287% | 
 | 36   | Gallade            |  5.55767% | 12804  |  8.219% | 9794   |  7.843% | 
 | 37   | Drampa             |  5.34855% | 3970   |  2.548% | 3274   |  2.622% | 
 | 38   | Runerigus          |  5.31016% | 11268  |  7.233% | 9791   |  7.840% | 
