 Total battles: 190969
 Avg. weight/team: 0.013
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Noivern            | 38.70327% | 73597  | 19.269% | 58951  | 19.166% | 
 | 2    | Haxorus            | 31.67690% | 88806  | 23.251% | 65683  | 21.354% | 
 | 3    | Sylveon            | 30.85321% | 44455  | 11.639% | 35677  | 11.599% | 
 | 4    | Incineroar         | 29.24782% | 75123  | 19.669% | 65533  | 21.306% | 
 | 5    | Cobalion           | 26.66785% | 61260  | 16.039% | 49700  | 16.158% | 
 | 6    | Rotom-Wash         | 23.22413% | 55101  | 14.427% | 48190  | 15.667% | 
 | 7    | Celebi             | 18.17405% | 31864  |  8.343% | 25285  |  8.220% | 
 | 8    | Rhyperior          | 17.64539% | 49688  | 13.009% | 41397  | 13.459% | 
 | 9    | Golisopod          | 16.02039% | 45956  | 12.032% | 37814  | 12.294% | 
 | 10   | Roserade           | 15.08402% | 35136  |  9.199% | 28452  |  9.250% | 
 | 11   | Bronzong           | 14.67460% | 42558  | 11.143% | 37550  | 12.208% | 
 | 12   | Gigalith           | 14.39745% | 35191  |  9.214% | 31553  | 10.258% | 
 | 13   | Gardevoir          | 14.31101% | 67718  | 17.730% | 51117  | 16.619% | 
 | 14   | Toxtricity         | 13.52463% | 54433  | 14.252% | 41760  | 13.577% | 
 | 15   | Flygon             | 13.01953% | 58611  | 15.346% | 47082  | 15.307% | 
 | 16   | Reuniclus          | 12.46308% | 20779  |  5.440% | 16347  |  5.315% | 
 | 17   | Doublade           | 12.45086% | 28525  |  7.468% | 22634  |  7.359% | 
 | 18   | Darmanitan         | 12.15384% | 69564  | 18.213% | 55452  | 18.028% | 
 | 19   | Weezing-Galar      | 11.61197% | 49520  | 12.965% | 40698  | 13.231% | 
 | 20   | Umbreon            | 10.94784% | 41882  | 10.966% | 33360  | 10.846% | 
 | 21   | Pangoro            | 10.56420% | 13097  |  3.429% | 10776  |  3.503% | 
 | 22   | Necrozma           | 10.29032% | 26326  |  6.893% | 20383  |  6.627% | 
 | 23   | Escavalier         |  8.91339% | 8082   |  2.116% | 6877   |  2.236% | 
 | 24   | Polteageist        |  8.47435% | 35037  |  9.173% | 25682  |  8.350% | 
 | 25   | Barbaracle         |  8.24609% | 14672  |  3.841% | 10817  |  3.517% | 
 | 26   | Chandelure         |  7.13855% | 55703  | 14.584% | 43592  | 14.172% | 
 | 27   | Venusaur           |  6.07078% | 53188  | 13.926% | 43073  | 14.004% | 
 | 28   | Arcanine           |  5.98145% | 38929  | 10.192% | 31319  | 10.182% | 
 | 29   | Espeon             |  5.72686% | 40605  | 10.631% | 31411  | 10.212% | 
 | 30   | Milotic            |  5.72559% | 40679  | 10.651% | 33430  | 10.868% | 
 | 31   | Torkoal            |  5.31810% | 48647  | 12.737% | 45110  | 14.666% | 
 | 32   | Araquanid          |  5.25808% | 35716  |  9.351% | 31561  | 10.261% | 
 | 33   | Mantine            |  4.94760% | 20819  |  5.451% | 17343  |  5.638% | 
 | 34   | Lucario            |  4.75715% | 36863  |  9.652% | 27053  |  8.795% | 
 | 35   | Tsareena           |  4.70651% | 27205  |  7.123% | 21841  |  7.101% | 
 | 36   | Gastrodon          |  4.51855% | 7919   |  2.073% | 6682   |  2.172% | 
 | 37   | Mamoswine          |  4.47644% | 19621  |  5.137% | 15489  |  5.036% | 
 | 38   | Quagsire           |  4.27291% | 4108   |  1.076% | 3338   |  1.085% | 
 | 39   | Machamp            |  4.12137% | 27501  |  7.200% | 22243  |  7.231% | 
 | 40   | Sirfetch'd         |  3.90379% | 29376  |  7.691% | 23230  |  7.552% | 
 | 41   | Avalugg            |  3.66374% | 16102  |  4.216% | 12207  |  3.969% | 
 | 42   | Xatu               |  3.54654% | 6848   |  1.793% | 5612   |  1.825% | 
 | 43   | Inteleon           |  3.53571% | 22408  |  5.867% | 17516  |  5.695% | 
 | 44   | Sandaconda         |  3.45959% | 3205   |  0.839% | 2728   |  0.887% | 
 | 45   | Heliolisk          |  3.37649% | 33520  |  8.776% | 26324  |  8.558% | 
 | 46   | Ribombee           |  3.33804% | 23558  |  6.168% | 20495  |  6.663% | 
 | 47   | Pyukumuku          |  3.26931% | 2597   |  0.680% | 2081   |  0.677% | 
 | 48   | Steelix            |  3.24583% | 6116   |  1.601% | 5379   |  1.749% | 
 | 49   | Duraludon          |  3.09772% | 19713  |  5.161% | 15836  |  5.148% | 
 | 50   | Blastoise          |  3.01063% | 36005  |  9.427% | 27862  |  9.058% | 
 | 51   | Drapion            |  2.90828% | 22150  |  5.799% | 18158  |  5.903% | 
 | 52   | Rotom-Mow          |  2.74967% | 20225  |  5.295% | 16703  |  5.430% | 
 | 53   | Corsola-Galar      |  2.54512% | 28322  |  7.415% | 23590  |  7.669% | 
 | 54   | Copperajah         |  2.50127% | 4699   |  1.230% | 3876   |  1.260% | 
 | 55   | Froslass           |  2.43767% | 5502   |  1.441% | 5013   |  1.630% | 
 | 56   | Braviary           |  2.34553% | 26224  |  6.866% | 20291  |  6.597% | 
 | 57   | Dugtrio-Alola      |  2.20457% | 9506   |  2.489% | 7802   |  2.537% | 
 | 58   | Snorlax            |  2.12523% | 7958   |  2.084% | 6483   |  2.108% | 
 | 59   | Indeedee           |  2.08122% | 5722   |  1.498% | 4242   |  1.379% | 
 | 60   | Stunfisk-Galar     |  1.99496% | 614    |  0.161% | 558    |  0.181% | 
 | 61   | Rotom-Frost        |  1.96198% | 2402   |  0.629% | 1663   |  0.541% | 
 | 62   | Slurpuff           |  1.93794% | 5703   |  1.493% | 4175   |  1.357% | 
 | 63   | Vaporeon           |  1.72130% | 18772  |  4.915% | 15256  |  4.960% | 
 | 64   | Linoone            |  1.64065% | 5966   |  1.562% | 4332   |  1.408% | 
 | 65   | Salazzle           |  1.60910% | 6921   |  1.812% | 5449   |  1.772% | 
 | 66   | Goodra             |  1.49366% | 15922  |  4.169% | 12565  |  4.085% | 
 | 67   | Whimsicott         |  1.42298% | 8805   |  2.305% | 7146   |  2.323% | 
 | 68   | Passimian          |  1.16970% | 5345   |  1.399% | 4278   |  1.391% | 
 | 69   | Ninetales          |  1.12433% | 10714  |  2.805% | 9013   |  2.930% | 
 | 70   | Centiskorch        |  1.08760% | 9784   |  2.562% | 8003   |  2.602% | 
