,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Usage Rate,Tier
0,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,53.0,1,0.00025%,NU
1,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,67.5,1,1.87055%,NU
2,5,Charmeleon,Fire,,58,64,58,80,65,80,405,67.5,1,0.00283%,NU
3,8,Wartortle,Water,,59,63,80,65,80,58,405,67.5,1,0.12936%,NU
4,12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,65.83,1,3.84170%,NU
5,25,Pikachu,Electric,,35,55,40,50,50,90,320,53.33,1,0.10887%,NU
6,26,Raichu,Electric,,60,90,55,90,80,110,485,80.83,1,0.56974%,NU
7,35,Clefairy,Fairy,,70,45,48,60,65,35,323,53.83,1,25.01305%,NU
8,37,Vulpix,Fire,,38,41,40,50,65,65,299,49.83,1,3.08927%,NU
9,37,Vulpix,Fire,,38,41,40,50,65,65,299,49.83,1,0.00009%,NU
10,43,Oddish,Grass,Poison,45,50,55,75,65,30,320,53.33,1,0.00004%,NU
11,44,Gloom,Grass,Poison,60,65,70,85,75,40,395,65.83,1,0.00728%,NU
12,50,Diglett,Ground,,10,55,25,35,45,95,265,44.17,1,0.00049%,NU
13,53,Persian,Normal,,65,70,60,65,65,115,440,73.33,1,0.18654%,NU
14,58,Growlithe,Fire,,55,70,45,70,50,60,350,58.33,1,0.00003%,NU
15,67,Machoke,Fighting,,80,100,70,50,60,45,405,67.5,1,0.34716%,NU
16,77,Ponyta,fire,,50,85,55,65,65,90,410,68.33,1,0.00210%,NU
17,90,Shellder,Water,,30,65,100,45,25,40,305,50.83,1,0.00001%,NU
18,90,Shellder,Water,,30,65,100,45,25,40,305,50.83,1,0.00051%,NU
19,92,Gastly,Ghost,Poison,30,35,30,100,35,80,310,51.67,1,0.06794%,NU
20,93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,67.5,1,4.70871%,NU
21,95,Onix,Rock,Ground,35,45,160,30,45,70,385,64.17,1,0.02888%,NU
22,98,Krabby,Water,,30,105,90,25,25,50,325,54.17,1,0.00007%,NU
23,98,Krabby,Water,,30,105,90,25,25,50,325,54.17,1,0.00138%,NU
24,107,Hitmonchan,Fighting,,50,105,79,35,110,76,455,75.83,1,2.04370%,NU
25,109,Koffing,Poison,,40,65,95,60,45,35,340,56.67,1,0.00001%,NU
26,111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345,57.5,1,0.00003%,NU
27,112,Rhydon,Ground,Rock,105,130,120,45,45,40,485,80.83,1,0.31796%,NU
28,119,Seaking,Water,,80,92,65,65,80,68,450,75.0,1,0.09082%,NU
29,122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,76.67,1,2.01093%,NU
30,131,Lapras,Water,Ice,130,85,80,85,95,60,535,89.17,1,0.20574%,NU
31,133,Eevee,Normal,,55,55,50,45,65,55,325,54.17,1,0.00022%,NU
32,135,Jolteon,Electric,,65,65,60,110,95,130,525,87.5,1,2.23775%,NU
33,136,Flareon,Fire,,65,130,60,95,110,65,525,87.5,1,6.95578%,NU
34,163,Hoothoot,Normal,Flying,60,30,30,36,56,50,262,43.67,2,0.00004%,NU
35,164,Noctowl,Normal,Flying,100,50,50,86,96,70,452,75.33,2,0.38558%,NU
36,170,Chinchou,Water,Electric,75,38,38,56,56,67,330,55.0,2,0.00004%,NU
37,171,Lanturn,Water,Electric,125,58,58,76,76,67,460,76.67,2,14.82065%,NU
38,173,Cleffa,Fairy,,50,25,28,45,55,15,218,36.33,2,0.00004%,NU
39,176,Togetic,Fairy,Flying,55,40,85,80,105,40,405,67.5,2,0.14919%,NU
40,177,Natu,Psychic,Flying,40,50,45,70,45,70,320,53.33,2,0.27197%,NU
41,182,Bellossom,Grass,,75,80,95,90,100,50,490,81.67,2,0.27186%,NU
42,185,Sudowoodo,Rock,,70,100,115,30,65,30,410,68.33,2,0.03518%,NU
43,194,Wooper,Water,Ground,55,45,45,25,25,15,210,35.0,2,0.00001%,NU
44,195,Quagsire,Water,Ground,95,85,85,65,65,35,430,71.67,2,11.63595%,NU
45,202,Wobbuffet,Psychic,,190,33,58,33,58,33,405,67.5,2,0.00039%,NU
46,202,Wobbuffet,Psychic,,190,33,58,33,58,33,405,67.5,2,0.00002%,NU
47,211,Qwilfish,Water,Poison,65,95,85,55,55,85,440,73.33,2,4.64398%,NU
48,213,Shuckle,Bug,Rock,20,10,230,10,230,5,505,84.17,2,0.83452%,NU
49,215,Sneasel,Dark,Ice,55,95,55,35,75,115,430,71.67,2,2.80859%,NU
50,220,Swinub,Ice,Ground,50,50,40,30,30,50,250,41.67,2,0.00003%,NU
51,221,Piloswine,Ice,Ground,100,100,80,60,60,50,450,75.0,2,12.86726%,NU
