,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Usage Rate,Tier
0,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,53.0,1,0.00850%,OU
1,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,67.5,1,0.00020%,OU
2,3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,87.5,1,1.85513%,OU
3,4,Charmander,Fire,,39,52,43,60,50,65,309,51.5,1,0.00001%,OU
4,5,Charmeleon,Fire,,58,64,58,80,65,80,405,67.5,1,0.00013%,OU
5,6,Charizard,Fire,Flying,78,84,78,109,85,100,534,89.0,1,1.10724%,OU
6,7,Squirtle,Water,,44,48,65,50,64,43,314,52.33,1,0.00430%,OU
7,8,Wartortle,Water,,59,63,80,65,80,58,405,67.5,1,0.00032%,OU
8,9,Blastoise,Water,,79,83,100,85,105,78,530,88.33,1,0.23498%,OU
9,11,Metapod,Bug,,50,20,55,25,25,30,205,34.17,1,0.00001%,OU
10,12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,65.83,1,0.01594%,OU
11,25,Pikachu,Electric,,35,55,40,50,50,90,320,53.33,1,0.05827%,OU
12,26,Raichu,Electric,,60,90,55,90,80,110,485,80.83,1,0.00914%,OU
13,35,Clefairy,Fairy,,70,45,48,60,65,35,323,53.83,1,0.83226%,OU
14,36,Clefable,Fairy,,95,70,73,95,90,60,483,80.5,1,56.53422%,OU
15,37,Vulpix,Fire,,38,41,40,50,65,65,299,49.83,1,0.00007%,OU
16,38,Ninetales,Fire,,73,76,75,81,100,100,505,84.17,1,0.53953%,OU
17,43,Oddish,Grass,Poison,45,50,55,75,65,30,320,53.33,1,0.00002%,OU
18,44,Gloom,Grass,Poison,60,65,70,85,75,40,395,65.83,1,0.00034%,OU
19,45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,81.67,1,0.07105%,OU
20,50,Diglett,Ground,,10,55,25,35,45,95,265,44.17,1,0.00844%,OU
21,51,Dugtrio,Ground,,35,100,50,50,70,120,425,70.83,1,0.06327%,OU
22,53,Persian,Normal,,65,70,60,65,65,115,440,73.33,1,0.00208%,OU
23,59,Arcanine,Fire,,90,110,80,100,80,95,555,92.5,1,0.92148%,OU
24,67,Machoke,Fighting,,80,100,70,50,60,45,405,67.5,1,0.00150%,OU
25,68,Machamp,Fighting,,90,130,80,65,85,55,505,84.17,1,0.08175%,OU
26,77,Ponyta,fire,,50,85,55,65,65,90,410,68.33,1,0.00840%,OU
27,78,Rapidash,Fire,,65,100,70,80,80,105,500,83.33,1,0.11718%,OU
28,83,Farfetch'd,Normal,Flying,52,90,55,58,62,60,377,62.83,1,0.00122%,OU
29,91,Cloyster,Water,Ice,50,95,180,85,45,70,525,87.5,1,6.75745%,OU
30,92,Gastly,Ghost,Poison,30,35,30,100,35,80,310,51.67,1,0.00001%,OU
31,93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,67.5,1,0.00082%,OU
32,94,Gengar,Ghost,Poison,60,65,60,130,75,110,500,83.33,1,5.73664%,OU
33,95,Onix,Rock,Ground,35,45,160,30,45,70,385,64.17,1,0.00879%,OU
34,98,Krabby,Water,,30,105,90,25,25,50,325,54.17,1,0.00006%,OU
