,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Usage Rate,Tier
0,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,53.0,1,0.00025%,RU
1,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,67.5,1,0.15707%,RU
2,6,Charizard,Fire,Flying,78,84,78,109,85,100,534,89.0,1,16.40012%,RU
3,8,Wartortle,Water,,59,63,80,65,80,58,405,67.5,1,1.47330%,RU
4,12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,65.83,1,0.10416%,RU
5,25,Pikachu,Electric,,35,55,40,50,50,90,320,53.33,1,0.02788%,RU
6,26,Raichu,Electric,,60,90,55,90,80,110,485,80.83,1,0.19432%,RU
7,35,Clefairy,Fairy,,70,45,48,60,65,35,323,53.83,1,0.57222%,RU
8,37,Vulpix,Fire,,38,41,40,50,65,65,299,49.83,1,0.00009%,RU
9,38,Ninetales,Fire,,73,76,75,81,100,100,505,84.17,1,8.16078%,RU
10,43,Oddish,Grass,Poison,45,50,55,75,65,30,320,53.33,1,0.00004%,RU
11,44,Gloom,Grass,Poison,60,65,70,85,75,40,395,65.83,1,0.06508%,RU
12,45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,81.67,1,24.01253%,RU
13,53,Persian,Normal,,65,70,60,65,65,115,440,73.33,1,0.00272%,RU
14,67,Machoke,Fighting,,80,100,70,50,60,45,405,67.5,1,0.03333%,RU
15,77,Ponyta,fire,,50,85,55,65,65,90,410,68.33,1,0.00210%,RU
16,78,Rapidash,Fire,,65,100,70,80,80,105,500,83.33,1,5.13382%,RU
17,83,Farfetch'd,Normal,Flying,52,90,55,58,62,60,377,62.83,1,0.00507%,RU
18,90,Shellder,Water,,30,65,100,45,25,40,305,50.83,1,0.00051%,RU
19,93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,67.5,1,1.58536%,RU
20,95,Onix,Rock,Ground,35,45,160,30,45,70,385,64.17,1,0.06203%,RU
21,98,Krabby,Water,,30,105,90,25,25,50,325,54.17,1,0.00138%,RU
22,99,Kingler,Water,,55,130,115,50,50,75,475,79.17,1,2.62955%,RU
23,106,Hitmonlee,Fighting,,50,120,53,35,110,87,455,75.83,1,3.89005%,RU
24,107,Hitmonchan,Fighting,,50,105,79,35,110,76,455,75.83,1,0.17984%,RU
25,109,Koffing,Poison,,40,65,95,60,45,35,340,56.67,1,0.00001%,RU
26,110,Weezing,Poison,,65,90,120,85,70,60,490,81.67,1,6.62536%,RU
27,112,Rhydon,Ground,Rock,105,130,120,45,45,40,485,80.83,1,12.16311%,RU
28,119,Seaking,Water,,80,92,65,65,80,68,450,75.0,1,0.00314%,RU
29,122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,76.67,1,0.02077%,RU
30,131,Lapras,Water,Ice,130,85,80,85,95,60,535,89.17,1,0.20048%,RU
31,135,Jolteon,Electric,,65,65,60,110,95,130,525,87.5,1,0.54885%,RU
32,136,Flareon,Fire,,65,130,60,95,110,65,525,87.5,1,0.12764%,RU
33,143,Snorlax,Normal,,160,110,65,65,110,30,540,90.0,1,25.02356%,RU
34,163,Hoothoot,Normal,Flying,60,30,30,36,56,50,262,43.67,2,0.00004%,RU
35,164,Noctowl,Normal,Flying,100,50,50,86,96,70,452,75.33,2,0.09449%,RU
36,171,Lanturn,Water,Electric,125,58,58,76,76,67,460,76.67,2,0.74252%,RU
37,173,Cleffa,Fairy,,50,25,28,45,55,15,218,36.33,2,0.00004%,RU
38,176,Togetic,Fairy,Flying,55,40,85,80,105,40,405,67.5,2,0.25895%,RU
39,178,Xatu,Psychic,Flying,65,75,70,95,70,95,470,78.33,2,27.03527%,RU
40,182,Bellossom,Grass,,75,80,95,90,100,50,490,81.67,2,0.01516%,RU
41,185,Sudowoodo,Rock,,70,100,115,30,65,30,410,68.33,2,0.01062%,RU
42,195,Quagsire,Water,Ground,95,85,85,65,65,35,430,71.67,2,1.58780%,RU
43,202,Wobbuffet,Psychic,,190,33,58,33,58,33,405,67.5,2,0.00002%,RU
44,208,Steelix,Steel,Ground,75,85,200,55,65,30,510,85.0,2,32.52857%,RU
