,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Usage Rate,Tier
0,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,67.5,1,0.04553%,UU
1,3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,87.5,1,6.07078%,UU
2,6,Charizard,Fire,Flying,78,84,78,109,85,100,534,89.0,1,0.57949%,UU
3,8,Wartortle,Water,,59,63,80,65,80,58,405,67.5,1,0.00622%,UU
4,9,Blastoise,Water,,79,83,100,85,105,78,530,88.33,1,3.01063%,UU
5,12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,65.83,1,0.13423%,UU
6,25,Pikachu,Electric,,35,55,40,50,50,90,320,53.33,1,0.03218%,UU
7,26,Raichu,Electric,,60,90,55,90,80,110,485,80.83,1,0.07862%,UU
8,35,Clefairy,Fairy,,70,45,48,60,65,35,323,53.83,1,0.17818%,UU
9,37,Vulpix,Fire,,38,41,40,50,65,65,299,49.83,1,0.03615%,UU
10,38,Ninetales,Fire,,73,76,75,81,100,100,505,84.17,1,1.12433%,UU
11,44,Gloom,Grass,Poison,60,65,70,85,75,40,395,65.83,1,0.00733%,UU
12,45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,81.67,1,0.29177%,UU
13,50,Diglett,Ground,,10,55,25,35,45,95,265,44.17,1,0.00001%,UU
14,53,Persian,Normal,,65,70,60,65,65,115,440,73.33,1,0.00575%,UU
15,59,Arcanine,Fire,,90,110,80,100,80,95,555,92.5,1,5.98145%,UU
16,67,Machoke,Fighting,,80,100,70,50,60,45,405,67.5,1,0.00032%,UU
17,68,Machamp,Fighting,,90,130,80,65,85,55,505,84.17,1,4.12137%,UU
18,78,Rapidash,Fire,,65,100,70,80,80,105,500,83.33,1,0.04382%,UU
19,83,Farfetch'd,Normal,Flying,52,90,55,58,62,60,377,62.83,1,0.00181%,UU
20,90,Shellder,Water,,30,65,100,45,25,40,305,50.83,1,0.00001%,UU
21,93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,67.5,1,0.01346%,UU
22,95,Onix,Rock,Ground,35,45,160,30,45,70,385,64.17,1,0.08252%,UU
23,99,Kingler,Water,,55,130,115,50,50,75,475,79.17,1,0.03782%,UU
24,106,Hitmonlee,Fighting,,50,120,53,35,110,87,455,75.83,1,0.30979%,UU
25,107,Hitmonchan,Fighting,,50,105,79,35,110,76,455,75.83,1,0.01973%,UU
26,110,Weezing,Poison,,65,90,120,85,70,60,490,81.67,1,0.33759%,UU
27,111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345,57.5,1,0.00020%,UU
28,112,Rhydon,Ground,Rock,105,130,120,45,45,40,485,80.83,1,0.08181%,UU
29,119,Seaking,Water,,80,92,65,65,80,68,450,75.0,1,0.00423%,UU
30,122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,76.67,1,0.00134%,UU
31,131,Lapras,Water,Ice,130,85,80,85,95,60,535,89.17,1,0.00954%,UU
32,133,Eevee,Normal,,55,55,50,45,65,55,325,54.17,1,0.00011%,UU
33,134,Vaporeon,Water,,130,65,60,110,95,65,525,87.5,1,1.72130%,UU
34,135,Jolteon,Electric,,65,65,60,110,95,130,525,87.5,1,0.25949%,UU
35,136,Flareon,Fire,,65,130,60,95,110,65,525,87.5,1,0.04642%,UU
36,143,Snorlax,Normal,,160,110,65,65,110,30,540,90.0,1,2.12523%,UU
37,164,Noctowl,Normal,Flying,100,50,50,86,96,70,452,75.33,2,0.01282%,UU
38,171,Lanturn,Water,Electric,125,58,58,76,76,67,460,76.67,2,0.03641%,UU
39,176,Togetic,Fairy,Flying,55,40,85,80,105,40,405,67.5,2,0.02502%,UU
40,178,Xatu,Psychic,Flying,65,75,70,95,70,95,470,78.33,2,3.54654%,UU
41,182,Bellossom,Grass,,75,80,95,90,100,50,490,81.67,2,0.00390%,UU
42,185,Sudowoodo,Rock,,70,100,115,30,65,30,410,68.33,2,0.02546%,UU
43,195,Quagsire,Water,Ground,95,85,85,65,65,35,430,71.67,2,4.27291%,UU
44,196,Espeon,Psychic,,65,65,60,130,95,110,525,87.5,2,5.72686%,UU
45,197,Umbreon,Dark,,95,65,110,60,130,65,525,87.5,2,10.94784%,UU
46,202,Wobbuffet,Psychic,,190,33,58,33,58,33,405,67.5,2,0.00164%,UU
47,208,Steelix,Steel,Ground,75,85,200,55,65,30,510,85.0,2,3.24583%,UU
48,211,Qwilfish,Water,Poison,65,95,85,55,55,85,440,73.33,2,0.53751%,UU
49,213,Shuckle,Bug,Rock,20,10,230,10,230,5,505,84.17,2,0.20186%,UU
50,215,Sneasel,Dark,Ice,55,95,55,35,75,115,430,71.67,2,0.05589%,UU
51,221,Piloswine,Ice,Ground,100,100,80,60,60,50,450,75.0,2,0.06576%,UU
52,222,Corsola,Water,Rock,65,55,95,65,95,35,410,68.33,2,0.02189%,UU
53,224,Octillery,Water,,75,105,75,105,75,45,480,80.0,2,0.00080%,UU
54,225,Delibird,Ice,Flying,45,55,45,65,45,75,330,55.0,2,0.00016%,UU
55,226,Mantine,Water,Flying,85,40,70,80,140,70,485,80.83,2,4.94760%,UU
56,237,Hitmontop,Fighting,,50,95,95,35,110,70,455,75.83,2,0.98871%,UU
57,247,Pupitar,Rock,Ground,70,84,70,65,70,51,410,68.33,2,0.00010%,UU
58,251,Celebi,Psychic,Grass,100,100,100,100,100,100,600,100.0,2,18.17405%,UU
59,264,Linoone,Normal,,78,70,61,50,61,100,420,70.0,3,1.64065%,UU
60,272,Ludicolo,Water,Grass,80,70,70,90,100,70,480,80.0,3,0.02157%,UU
61,275,Shiftry,Grass,Dark,90,100,60,90,60,80,480,80.0,3,0.73057%,UU
62,278,Wingull,Water,Flying,40,30,30,55,30,85,270,45.0,3,0.00001%,UU
63,282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,518,86.33,3,14.31101%,UU
64,291,Ninjask,Bug,Flying,61,90,45,50,50,160,456,76.0,3,0.01450%,UU
65,292,Shedinja,Bug,Ghost,1,90,45,30,30,40,236,39.33,3,0.70875%,UU
66,302,Sableye,Dark,Ghost,50,75,75,65,65,50,380,63.33,3,0.07808%,UU
67,303,Mawile,Steel,Fairy,50,85,85,55,55,50,380,63.33,3,0.01982%,UU
68,310,Manectric,Electric,,70,75,60,105,60,105,475,79.17,3,0.01657%,UU
69,315,Roselia,Grass,Poison,50,60,45,100,80,65,400,66.67,3,0.00055%,UU
70,321,Wailord,Water,,170,90,45,90,45,60,500,83.33,3,0.00132%,UU
71,324,Torkoal,Fire,,70,85,140,85,70,20,470,78.33,3,5.31810%,UU
72,328,Trapinch,Ground,,45,100,45,45,45,10,290,48.33,3,0.00219%,UU
73,330,Flygon,Ground,Dragon,80,100,80,80,80,100,520,86.67,3,13.01953%,UU
74,337,Lunatone,Rock,Psychic,90,55,65,95,85,70,460,76.67,3,0.00053%,UU
75,338,Solrock,Rock,Psychic,90,95,85,55,65,70,460,76.67,3,0.01166%,UU
76,340,Whiscash,Water,Ground,110,78,73,76,71,60,468,78.0,3,0.00069%,UU
77,344,Claydol,Ground,Psychic,60,70,105,70,120,75,500,83.33,3,0.70978%,UU
78,350,Milotic,Water,,95,60,79,100,125,81,540,90.0,3,5.72559%,UU
79,356,Dusclops,Ghost,,40,70,130,60,130,25,455,75.83,3,0.74089%,UU
80,362,Glalie,Ice,,80,80,80,80,80,80,480,80.0,3,0.00091%,UU
81,407,Roserade,Grass,Poison,60,70,65,125,105,90,515,85.83,4,15.08402%,UU
82,416,Vespiquen,Bug,Flying,70,80,102,80,102,40,474,79.0,4,0.00528%,UU
83,421,Cherrim,Grass,,70,60,70,87,78,85,450,75.0,4,0.00198%,UU
84,423,Gastrodon,Water,Ground,111,83,68,92,82,39,475,79.17,4,4.51855%,UU
85,426,Drifblim,Ghost,Flying,150,80,44,90,54,80,498,83.0,4,0.05402%,UU
86,434,Stunky,Poison,Dark,63,63,47,41,41,74,329,54.83,4,0.00010%,UU
87,435,Skuntank,Poison,Dark,103,93,67,71,61,84,479,79.83,4,0.01200%,UU
88,437,Bronzong,Steel,Psychic,67,89,116,79,116,33,500,83.33,4,14.67460%,UU
89,439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,310,51.67,4,0.00002%,UU
90,446,Munchlax,Normal,,135,85,40,40,85,5,390,65.0,4,0.00539%,UU
91,447,Riolu,Fighting,,40,70,40,35,40,60,285,47.5,4,0.00006%,UU
92,448,Lucario,Fighting,Steel,70,110,70,115,70,90,525,87.5,4,4.75715%,UU
93,449,Hippopotas,Ground,,68,72,78,38,42,32,330,55.0,4,0.00194%,UU
94,451,Skorupi,Poison,Bug,40,50,90,30,55,65,330,55.0,4,0.00005%,UU
95,452,Drapion,Poison,Dark,70,90,110,60,75,95,500,83.33,4,2.90828%,UU
96,454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,490,81.67,4,0.75982%,UU
97,460,Abomasnow,Grass,Ice,90,92,75,92,85,60,494,82.33,4,0.40314%,UU
98,464,Rhyperior,Ground,Rock,115,140,130,55,55,40,535,89.17,4,17.64539%,UU
99,470,Leafeon,Grass,,65,110,130,60,65,95,525,87.5,4,0.25481%,UU
100,471,Glaceon,Ice,,65,60,110,130,95,65,525,87.5,4,0.00184%,UU
101,473,Mamoswine,Ice,Ground,110,130,80,70,60,80,530,88.33,4,4.47644%,UU
102,475,Gallade,Psychic,Fighting,68,125,65,65,115,80,518,86.33,4,0.47882%,UU
103,477,Dusknoir,Ghost,,45,100,135,65,135,45,525,87.5,4,0.02410%,UU
104,478,Froslass,Ice,Ghost,70,80,70,80,70,110,480,80.0,4,2.43767%,UU
105,479,Rotom,Electric,Ghost,50,50,77,95,77,91,440,73.33,4,0.02485%,UU
106,510,Liepard,Dark,,64,88,50,88,50,106,446,74.33,5,0.02925%,UU
107,518,Musharna,Psychic,,116,55,85,107,95,29,487,81.17,5,0.01010%,UU
108,521,Unfezant,Normal,Flying,80,115,80,65,55,93,488,81.33,5,0.00816%,UU
109,525,Boldore,Rock,,70,105,105,50,40,20,390,65.0,5,0.00001%,UU
110,526,Gigalith,Rock,,85,135,130,60,80,25,515,85.83,5,14.39745%,UU
111,527,Woobat,Psychic,Flying,65,45,43,55,43,72,323,53.83,5,0.00028%,UU
112,528,Swoobat,Psychic,Flying,67,57,55,77,55,114,425,70.83,5,0.06800%,UU
113,529,Drilbur,Ground,,60,85,40,30,45,68,328,54.67,5,0.05801%,UU
114,533,Gurdurr,Fighting,,85,105,85,40,50,40,405,67.5,5,0.11484%,UU
115,536,Palpitoad,Water,Ground,75,65,55,65,55,69,384,64.0,5,0.01554%,UU
116,538,Throh,Fighting,,120,100,85,30,85,45,465,77.5,5,0.41559%,UU
117,539,Sawk,Fighting,,75,125,75,30,75,85,465,77.5,5,0.04846%,UU
118,546,Cottonee,Grass,Fairy,40,27,60,37,50,66,280,46.67,5,0.00003%,UU
119,547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,480,80.0,5,1.42298%,UU
120,550,Basculin,Water,,70,92,65,80,55,98,460,76.67,5,0.00171%,UU
121,556,Maractus,Grass,,75,86,67,106,67,60,461,76.83,5,0.00573%,UU
122,557,Dwebble,Bug,Rock,50,65,85,35,35,55,325,54.17,5,0.00009%,UU
123,558,Crustle,Bug,Rock,70,105,125,65,75,45,485,80.83,5,0.14803%,UU
124,560,Scrafty,Dark,Fighting,65,90,115,45,115,58,488,81.33,5,0.32189%,UU
125,561,Sigilyph,Psychic,Flying,72,58,80,103,80,97,490,81.67,5,1.03042%,UU
126,563,Cofagrigus,Ghost,,58,50,145,95,105,30,483,80.5,5,0.05921%,UU
127,569,Garbodor,Poison,,80,95,82,60,82,75,474,79.0,5,0.46386%,UU
128,573,Cinccino,Normal,,75,95,60,65,60,115,470,78.33,5,0.16619%,UU
129,576,Gothitelle,Psychic,,70,55,95,95,110,65,490,81.67,5,0.00012%,UU
130,577,Solosis,Psychic,,45,30,40,105,50,20,290,48.33,5,0.01481%,UU
131,578,Duosion,Psychic,,65,40,50,125,60,30,370,61.67,5,0.00047%,UU
132,579,Reuniclus,Psychic,,110,65,75,125,85,30,490,81.67,5,12.46308%,UU
133,584,Vanilluxe,Ice,,71,95,85,110,95,79,535,89.17,5,0.48203%,UU
134,589,Escavalier,Bug,Steel,70,135,105,60,105,20,495,82.5,5,8.91339%,UU
135,592,Frillish,Water,Ghost,55,40,50,65,85,40,335,55.83,5,0.00012%,UU
136,593,Jellicent,Water,Ghost,100,60,70,85,105,60,480,80.0,5,0.38691%,UU
137,596,Galvantula,Bug,Electric,70,77,60,97,60,108,472,78.67,5,0.49767%,UU
138,597,Ferroseed,Grass,Steel,44,50,91,24,86,10,305,50.83,5,0.03213%,UU
139,599,Klink,Steel,,40,55,70,45,60,30,300,50.0,5,0.00001%,UU
140,600,Klang,Steel,,60,80,95,70,85,50,440,73.33,5,0.00001%,UU
141,601,Klinklang,Steel,,60,100,115,70,85,90,520,86.67,5,0.01112%,UU
142,606,Beheeyem,Psychic,,75,75,75,125,95,40,485,80.83,5,0.00044%,UU
143,609,Chandelure,Ghost,Fire,60,55,90,145,90,80,520,86.67,5,7.13855%,UU
144,611,Fraxure,Dragon,,66,117,70,40,50,67,410,68.33,5,0.00001%,UU
145,612,Haxorus,Dragon,,76,147,90,60,70,97,540,90.0,5,31.67690%,UU
146,614,Beartic,Ice,,95,130,80,70,80,50,505,84.17,5,0.03591%,UU
147,617,Accelgor,Bug,,80,70,40,100,60,145,495,82.5,5,0.26302%,UU
148,618,Stunfisk,Ground,Electric,109,66,84,81,99,32,471,78.5,5,0.00993%,UU
149,622,Golett,Ground,Ghost,59,74,50,35,50,35,303,50.5,5,0.00002%,UU
150,623,Golurk,Ground,Ghost,89,124,80,55,80,55,483,80.5,5,0.24310%,UU
151,624,Pawniard,Dark,Steel,45,85,70,40,40,60,340,56.67,5,0.00016%,UU
152,627,Rufflet,Normal,Flying,70,83,50,37,50,60,350,58.33,5,0.00327%,UU
153,628,Braviary,Normal,Flying,100,123,75,57,75,80,510,85.0,5,2.34553%,UU
154,629,Vullaby,Dark,Flying,70,55,75,45,65,60,370,61.67,5,0.00109%,UU
155,631,Heatmor,Fire,,85,97,66,105,66,65,484,80.67,5,0.00015%,UU
156,634,Zweilous,Dark,Dragon,72,85,70,65,70,58,420,70.0,5,0.00047%,UU
157,638,Cobalion,Steel,Fighting,91,90,129,90,72,108,580,96.67,5,26.66785%,UU
158,640,Virizion,Grass,Fighting,91,90,72,90,129,108,580,96.67,5,0.66346%,UU
159,659,Bunnelby,Normal,,38,36,38,32,36,57,237,39.5,6,0.00001%,UU
160,675,Pangoro,Fighting,Dark,95,124,78,69,71,58,495,82.5,6,10.56420%,UU
161,677,Espurr,Psychic,,62,48,54,63,60,68,355,59.17,6,0.00002%,UU
162,678,Meowstic,Psychic,,74,48,76,83,81,104,466,77.67,6,0.06807%,UU
163,680,Doublade,Steel,Ghost,59,110,150,45,49,35,448,74.67,6,12.45086%,UU
164,682,Spritzee,Fairy,,78,52,60,63,65,23,341,56.83,6,0.00001%,UU
165,683,Aromatisse,Fairy,,101,72,72,99,89,29,462,77.0,6,0.33621%,UU
